#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.69400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.69600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.69800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.70000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.70200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.70400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.70600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.70800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.71000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.71200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.71400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.71600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.71800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.72000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.72200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.72400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.72600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.72800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.73000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.73200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.73400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.73600000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.73800000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.74000000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.74200000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
      0.74400000E+04       0.21253379E+01       0.10736119E+04       0.98891161E+03
